categorie,montant_2024,montant_2025,total,nb_2024,nb_2025,nb_total,pct_total
Autres dépenses,887419.49,442165.69,1329585.18,259,204,463,61.9
RH - salaires / primes / avances,246152.91,136921.0,383073.91,57,43,100,17.8
Prestataires externes,98297.0,91036.0,189333.0,18,17,35,8.8
Logiciels & SaaS,40350.6,28925.87,69276.47,75,49,124,3.2
Retraits espèce,20000.0,45000.0,65000.0,18,19,37,3.0
Loyer,0.0,61000.0,61000.0,0,7,7,2.8
Téléphonie / VOIP,18223.78,17737.47,35961.25,8,7,15,1.7
Frais bancaires,6239.31,5917.71,12157.02,133,218,351,0.6
Autres dépenses documentées,2184.42,0.0,2184.42,4,0,4,0.1
